Variable,Id,Variable Group,Study,Study Id
Henvist fra helseinstitusjon,HENVFRAINSTITUSJONID,Henvisning,SOMATIKK,SOMATIKK
Henvist fra tjeneste,HENVFRATJENESTE,Henvisning,SOMATIKK,SOMATIKK
Henvist til helseinstitusjon,HENVTILINSTITUSJONID,Henvisning,SOMATIKK,SOMATIKK
Henvist til tjeneste,HENVTILTJENESTE,Henvisning,SOMATIKK,SOMATIKK
Mottaksdato,MOTTAKSDATO,Henvisning,SOMATIKK,SOMATIKK
Ny Tilstand,NYTILSTAND,Henvisning,SOMATIKK,SOMATIKK
Omsorgsnivå,OMSNIVAHENV,Henvisning,SOMATIKK,SOMATIKK
Pakkeforløp kreft,PAKKEFORLOP,Henvisning,SOMATIKK,SOMATIKK
Rett til helsehjelp,RETTTILHELSEHJELP,Henvisning,SOMATIKK,SOMATIKK
Second opinion,SECONDOPINION,Henvisning,SOMATIKK,SOMATIKK
Slutt-dato,SLUTTDATO,Henvisning,SOMATIKK,SOMATIKK
Tildelt behandlingsdato,TILDELTDATO,Henvisning,SOMATIKK,SOMATIKK
Utfall av vurdering av henvisningen,HENVVURD,Henvisning,SOMATIKK,SOMATIKK
Utsettelse kode,UTSETTKODE,Henvisning,SOMATIKK,SOMATIKK
Ventetid sluttdato,VENTETIDSLUTTDATO,Henvisning,SOMATIKK,SOMATIKK
Ventetid sluttkode,VENTETIDSLUTTKODE,Henvisning,SOMATIKK,SOMATIKK
Vurderingsdato,VURDDATO,Henvisning,SOMATIKK,SOMATIKK
Aktivitetkategori 10-delt,AKTIVITETSKATEGORI,Opphold,SOMATIKK,SOMATIKK
Aktivitetskategori 2-delt,AKTIVITETSKATEGORI2,Opphold,SOMATIKK,SOMATIKK
Aktivitetskategori 3-delt,AKTIVITETSKATEGORI3,Opphold,SOMATIKK,SOMATIKK
Aktivitetskategori 4-delt,AKTIVITETSKATEGORI4,Opphold,SOMATIKK,SOMATIKK
Aktivitetstype,POLKONAKTIVITET,Opphold,SOMATIKK,SOMATIKK
ATC-kode,ATC,Opphold,SOMATIKK,SOMATIKK
Avdeling med ISF-refusjon,TJENESTEENHETISFREFUSJON,Opphold,SOMATIKK,SOMATIKK
Avdeling/tjenesteenhet kode,TJENESTEENHETKODE,Opphold,SOMATIKK,SOMATIKK
Avdelingens ReshID,TJENESTEENHETRESHID,Opphold,SOMATIKK,SOMATIKK
Avdelingsnavn,TJENESTEENHETLOKAL,Opphold,SOMATIKK,SOMATIKK
"Behandlingsnivå 2-delt - korrigert for dagkirurgi, kjemoterapi og rehab",BEHANDLINGSNIVA2_NY,Opphold,SOMATIKK,SOMATIKK
"Behandlingsnivå 3-delt - korrigert for dagkirurgi, kjemoterapi og rehab",BEHANDLINGSNIVA3_NY,Opphold,SOMATIKK,SOMATIKK
"Behandlingsnivå 4-delt - korrigert for dagkirurgi, kjemoterapi og rehab",BEHANDLINGSNIVA4_NY,Opphold,SOMATIKK,SOMATIKK
"Behandlingsnivå 8-delt - korrigert for dagkirurgi, kjemoterapi og rehab",BEHANDLINGSNIVA8_NY,Opphold,SOMATIKK,SOMATIKK
Behandlingsnivå firedelt,BEHANDLINGSNIVA4,Opphold,SOMATIKK,SOMATIKK
Behandlingsnivå todelt,BEHANDLINGSNIVA2,Opphold,SOMATIKK,SOMATIKK
Behandlingsnivå tredelt,BEHANDLINGSNIVA3,Opphold,SOMATIKK,SOMATIKK
Behandlingsnivå åttedelt,BEHANDLINGSNIVA8,Opphold,SOMATIKK,SOMATIKK
Behandlingssted kode,BEHANDLINGSSTEDKODE,Opphold,SOMATIKK,SOMATIKK
Behandlingssted med ISF-refusjon,BEHANDLINGSSTEDISFREFUSJON,Opphold,SOMATIKK,SOMATIKK
Behandlingssted navn,BEHANDLINGSSTEDLOKAL,Opphold,SOMATIKK,SOMATIKK
Behandlingssted ReshId,BEHANDLINGSSTEDRESHID,Opphold,SOMATIKK,SOMATIKK
Cytostatika,CYTO,Opphold,SOMATIKK,SOMATIKK
Dagkirurgisk DRG,DAG_KIR,Opphold,SOMATIKK,SOMATIKK
Dato for når pasienten er utskrivningsklar.,UTSKRKLARDATO,Opphold,SOMATIKK,SOMATIKK
Dato for slutt av tiltaket,TILTAKSLUTTDATO,Opphold,SOMATIKK,SOMATIKK
Dato for slutt av tjenesten,TJENESTESLUTTDATO,Opphold,SOMATIKK,SOMATIKK
Dato for start av tiltaket,TILTAKSTARTDATO,Opphold,SOMATIKK,SOMATIKK
Debitor,DEBITOR,Opphold,SOMATIKK,SOMATIKK
DRG,DRG,Opphold,SOMATIKK,SOMATIKK
DRG returkode,DRGRETURKODE,Opphold,SOMATIKK,SOMATIKK
DRG-type,DRG_TYPE,Opphold,SOMATIKK,SOMATIKK
DRG-vekt,VEKT,Opphold,SOMATIKK,SOMATIKK
Epikrise sendt dato,EPIKRISEDATO,Opphold,SOMATIKK,SOMATIKK
Fagenhet kode,FAGENHETKODE,Opphold,SOMATIKK,SOMATIKK
Fagenhet med ISF-refusjon,FAGENHETISFREFUSJON,Opphold,SOMATIKK,SOMATIKK
Fagenhet navn,FAGENHETLOKAL,Opphold,SOMATIKK,SOMATIKK
Fagenhet ReshID,FAGENHETRESHID,Opphold,SOMATIKK,SOMATIKK
Fagområde,EPISODEFAG,Opphold,SOMATIKK,SOMATIKK
Fra institusjon,FRAINSTITUSJONID,Opphold,SOMATIKK,SOMATIKK
Fra sted,FRASTED,Opphold,SOMATIKK,SOMATIKK
Fritt behandlingsvalg tjeneste,FBVTJENESTEEPISODE,Opphold,SOMATIKK,SOMATIKK
Gammelt omsorgsnivå,G_OMSORGSNIVA,Opphold,SOMATIKK,SOMATIKK
Helseforetak,HF,Opphold,SOMATIKK,SOMATIKK
Helseperson sin rolle,ROLLE,Opphold,SOMATIKK,SOMATIKK
Hoveddiagnosegruppe,HDG,Opphold,SOMATIKK,SOMATIKK
Indirekte aktiviteter,POLINDIR,Opphold,SOMATIKK,SOMATIKK
Inndato,INNDATO,Opphold,SOMATIKK,SOMATIKK
Innmåned,INNMND,Opphold,SOMATIKK,SOMATIKK
Innmåte hastegrad,INNMATEHAST,Opphold,SOMATIKK,SOMATIKK
Inntid,INNTID,Opphold,SOMATIKK,SOMATIKK
Inntilstand,INNTILSTAND,Opphold,SOMATIKK,SOMATIKK
Institusjon identifikator,INSTITUSJONID,Opphold,SOMATIKK,SOMATIKK
Intern konsultasjon,INTERN_KONS,Opphold,SOMATIKK,SOMATIKK
ISF-opphold,ISF_OPPHOLD,Opphold,SOMATIKK,SOMATIKK
Kommunal helse- og omsorgstjeneste,KOMMTJENESTE,Opphold,SOMATIKK,SOMATIKK
Kompliserende DRG,KOMP_DRG,Opphold,SOMATIKK,SOMATIKK
Kontakttype,KONTAKTTYPE,Opphold,SOMATIKK,SOMATIKK
Korrigert vekt,KORRVEKT,Opphold,SOMATIKK,SOMATIKK
Length of stay i dager,LOS,Opphold,SOMATIKK,SOMATIKK
Liggetid,LIGGETID,Opphold,SOMATIKK,SOMATIKK
Liggetid i perioden,LIGGETID_PERIODE,Opphold,SOMATIKK,SOMATIKK
Nivå på episode - aggregert av NPK,NIVA,Opphold,SOMATIKK,SOMATIKK
NPK Antall avdelingsopphold,NPKOPPHOLD_ANTALLAVDELINGSOPPHOLD,Opphold,SOMATIKK,SOMATIKK
NPK Antall kontakter,NPKOPPHOLD_ANTALLKONTAKTER,Opphold,SOMATIKK,SOMATIKK
NPK DRG basispoeng,NPKOPPHOLD_DRGBASISPOENG,Opphold,SOMATIKK,SOMATIKK
NPK ISF-opphold,NPKOPPHOLD_ERTELLENDEISFOPPHOLDOMKODETAVNPR,Opphold,SOMATIKK,SOMATIKK
NPK ISF-poeng,NPKOPPHOLD_ISFPOENG,Opphold,SOMATIKK,SOMATIKK
NPK Poengsum,NPKOPPHOLD_POENGSUM,Opphold,SOMATIKK,SOMATIKK
Omsorgsnivå,OMSORGSNIVA,Opphold,SOMATIKK,SOMATIKK
Oppholdstype,OPPHOLDSTYPE,Opphold,SOMATIKK,SOMATIKK
Pasientens samtykke for sending av epikrise,EPIKRISESAMTYKKE,Opphold,SOMATIKK,SOMATIKK
Permisjonsdøgn,PERMISJONSDOGN,Opphold,SOMATIKK,SOMATIKK
Prosedyrer,PROSEDYRER,Opphold,SOMATIKK,SOMATIKK
Refusjonsberettiget episode,REFUSJONSBERETTIGET,Opphold,SOMATIKK,SOMATIKK
Spesialist,SPESIALIST,Opphold,SOMATIKK,SOMATIKK
Spesifikk DRG,SPES_DRG,Opphold,SOMATIKK,SOMATIKK
Status for varsling av Helfo,VARSLINGHELFO,Opphold,SOMATIKK,SOMATIKK
Sted for aktivitet,STEDAKTIVITET,Opphold,SOMATIKK,SOMATIKK
Sykehusfylke,SHFYLKE,Opphold,SOMATIKK,SOMATIKK
Sykehusregion,SH_REG,Opphold,SOMATIKK,SOMATIKK
Takst,TAKST,Opphold,SOMATIKK,SOMATIKK
Tertial,TERTIAL,Opphold,SOMATIKK,SOMATIKK
Tidspunkt for slutt av tiltaket,TILTAKSLUTTTID,Opphold,SOMATIKK,SOMATIKK
Tidspunkt for slutt av tjenesten,TJENESTESLUTTTID,Opphold,SOMATIKK,SOMATIKK
Tidspunkt for start av tjenesten,TJENESTESTARTTID,Opphold,SOMATIKK,SOMATIKK
Til institusjon,TILINSTITUSJONID,Opphold,SOMATIKK,SOMATIKK
Til sted,TILSTED,Opphold,SOMATIKK,SOMATIKK
Tilstand,TILSTAND,Opphold,SOMATIKK,SOMATIKK
Trimpunkt,TRIMPKT,Opphold,SOMATIKK,SOMATIKK
Type rehabilitering,REHABTYPE,Opphold,SOMATIKK,SOMATIKK
Type tiltak,TYPETILTAK,Opphold,SOMATIKK,SOMATIKK
Utdato,UTDATO,Opphold,SOMATIKK,SOMATIKK
Utførende helsepersonell,POLUTFORENDE,Opphold,SOMATIKK,SOMATIKK
Utmåned,UTMND,Opphold,SOMATIKK,SOMATIKK
Uttid,UTTID,Opphold,SOMATIKK,SOMATIKK
Uttilstand,UTTILSTAND,Opphold,SOMATIKK,SOMATIKK
Versjon,VERSJON,Opphold,SOMATIKK,SOMATIKK
År,AAR,Opphold,SOMATIKK,SOMATIKK
